# Sample generated by Stan
# stan_version_major=2
# stan_version_minor=26
# stan_version_patch=1
# init=random
# enable_random_init=1
# seed=2356
# chain_id=1
# iter=2000
# warmup=1000
# save_warmup=1
# thin=1
# refresh=200
# stepsize=1
# stepsize_jitter=0
# adapt_engaged=1
# adapt_gamma=0.05
# adapt_delta=0.8
# adapt_kappa=0.75
# adapt_t0=10
# max_treedepth=10
# sampler_t=NUTS(diag_e)
# sample_file=models/demo_resid_1.csv
# append_samples=0
#
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,Intercept,bs.1,zs_1_1.1,zs_1_1.2,zs_1_1.3,zs_1_1.4,zs_1_1.5,zs_1_1.6,zs_1_1.7,zs_1_1.8,sds_1_1,zs_2_1.1,zs_2_1.2,zs_2_1.3,zs_2_1.4,zs_2_1.5,zs_2_1.6,zs_2_1.7,zs_2_1.8,sds_2_1,ar.1,sigma,nu,s_1_1.1,s_1_1.2,s_1_1.3,s_1_1.4,s_1_1.5,s_1_1.6,s_1_1.7,s_1_1.8,s_2_1.1,s_2_1.2,s_2_1.3,s_2_1.4,s_2_1.5,s_2_1.6,s_2_1.7,s_2_1.8,b_Intercept
-185.794,0.36912,0.0482619,6,63,0,202.789,-0.119923,-2.52073,0.0488672,-2.02799,-0.813732,-1.34912,1.79777,-2.73267,-0.760511,-0.440508,2.09181,-0.0266934,0.398634,1.22734,-0.719369,0.0436078,1.42477,0.0265266,0.151222,0.157305,0.25273,0.395214,2.78407,0.102221,-4.24218,-1.70218,-2.8221,3.7606,-5.71624,-1.59085,-0.921461,-0.00419901,0.0627072,0.193067,-0.113161,0.00685973,0.224124,0.00417277,0.0237879,-0.119923
-188.53,0.987197,0.0141164,7,127,0,196.312,-0.107083,-2.71101,-0.233752,-2.3364,-1.05479,-1.53686,2.55427,-2.17833,-0.963447,-0.910746,2.28594,-0.0622122,0.451466,0.831695,-0.291102,-0.314769,2.13515,-0.0592191,-0.103729,0.128332,0.197587,0.355913,2.45682,-0.534342,-5.34086,-2.41119,-3.51316,5.8389,-4.97951,-2.20238,-2.08191,-0.0079838,0.0579375,0.106733,-0.0373576,-0.0403948,0.274007,-0.00759969,-0.0133118,-0.107083
-185.529,0.943042,0.0258311,7,127,0,196.741,-0.0989719,-2.16366,-1.28162,0.0683618,-0.231054,-0.0223835,0.0784722,-0.863479,-0.0204591,1.23992,7.21242,-0.557531,1.03878,2.08004,-0.391809,1.78302,1.61601,0.536069,-1.44014,0.0935821,0.185479,0.394666,2.97228,-9.24361,0.493054,-1.66646,-0.161439,0.565975,-6.22777,-0.14756,8.94283,-0.0521749,0.0972114,0.194654,-0.0366663,0.166859,0.15123,0.0501665,-0.134771,-0.0989719
-192.098,0.0223785,0.0411838,6,63,0,201.8,0.00620996,-2.13647,-1.27354,0.0776244,-0.151555,-0.110572,-0.0163689,-0.741892,0.0576577,1.1485,7.04969,-0.601404,1.11893,2.11473,-0.405907,1.73892,1.58102,0.308929,-1.30778,0.085832,0.185742,0.416474,2.88071,-8.97809,0.547228,-1.06841,-0.779498,-0.115396,-5.23011,0.406468,8.09654,-0.0516197,0.0960399,0.181512,-0.0348398,0.149255,0.135702,0.026516,-0.112249,0.00620996
-188.801,0.998862,0.00459063,9,511,0,202.925,-0.197341,-3.00938,-2.08409,-0.509524,-0.53018,-0.363305,0.967468,-2.32634,0.829825,0.987273,2.88347,-0.54811,0.987882,1.26719,-1.40549,0.41564,1.9409,-0.0955577,-0.758584,0.111153,0.286254,0.40903,2.36164,-6.00941,-1.4692,-1.52876,-1.04758,2.78966,-6.70791,2.39277,2.84677,-0.0609241,0.109806,0.140852,-0.156225,0.0461996,0.215737,-0.0106215,-0.084319,-0.197341
-189.105,0.999222,0.0086524,8,255,0,197.277,-0.162983,-3.39909,-2.26066,-0.554944,-0.611538,-0.860895,0.851118,-2.28393,0.859401,1.08721,4.0006,-0.147914,1.01075,1.0022,-1.1324,0.681812,1.90132,0.169663,-0.967475,0.12609,0.149357,0.311073,1.76814,-9.04397,-2.2201,-2.44652,-3.44409,3.40498,-9.13708,3.43812,4.3495,-0.0186504,0.127445,0.126367,-0.142784,0.0859694,0.239737,0.0213928,-0.121989,-0.162983
-193.071,0.999742,0.0161562,8,255,0,204.723,-0.16881,-3.38013,-0.196116,-1.05645,-0.529011,-0.414662,0.674471,-0.550082,-1.36276,-0.874325,5.39517,-1.58772,0.96546,1.82123,-0.268399,-0.40786,-0.286341,0.598346,1.94622,0.0375322,0.277439,0.414283,2.93473,-1.05808,-5.69975,-2.85411,-2.23717,3.63889,-2.96779,-7.35234,-4.71713,-0.0595906,0.0362358,0.0683547,-0.0100736,-0.0153079,-0.010747,0.0224572,0.073046,-0.16881
-189.655,0.738253,0.0299017,7,127,0,207.406,-0.111394,-2.68665,-0.0507222,-0.798992,-0.816964,-0.632328,2.08868,-2.19149,0.333434,1.72276,3.07257,-0.512481,1.16853,0.852063,-0.456089,0.323258,2.4914,0.590651,-0.102016,0.103634,0.206961,0.370158,3.83172,-0.155848,-2.45496,-2.51018,-1.94287,6.41761,-6.73352,1.0245,5.29332,-0.0531103,0.121099,0.0883024,-0.0472662,0.0335004,0.258193,0.0612113,-0.0105723,-0.111394
-189.04,0.938098,0.0264447,7,127,0,200.17,-0.0806701,-3.03807,-0.293779,-0.955699,-0.247754,-0.705503,0.5667,-1.10387,0.0347237,0.717132,3.35418,-0.427279,1.25949,1.16373,-0.358341,-0.5036,0.656706,-0.787735,1.26015,0.0578195,0.366654,0.365033,2.25801,-0.985387,-3.20558,-0.831009,-2.36638,1.90081,-3.70258,0.116469,2.40539,-0.0247051,0.0728229,0.0672862,-0.0207191,-0.0291179,0.0379704,-0.0455465,0.0728615,-0.0806701
-185.28,0.964395,0.0407011,6,63,0,200.133,-0.130486,-3.0414,-0.326898,-0.962576,-0.340668,-0.683955,0.606406,-1.15285,0.00856285,0.749204,3.48131,-0.345611,1.25695,1.20468,-0.293583,-0.554803,0.586892,-0.840372,1.25848,0.0597858,0.375389,0.357337,2.23546,-1.13803,-3.35103,-1.18597,-2.38106,2.11109,-4.01343,0.02981,2.60822,-0.0206626,0.075148,0.0720229,-0.0175521,-0.0331694,0.0350878,-0.0502423,0.0752391,-0.130486
